Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
361,4117648697640,1,17.8397064208984,-92.0400390625,119.990516662598,on,10,True,1
361,4117648697640,3,18.9344940185547,156.915138244629,80.5107040405273,on,10,True,1
362,4117666474818,1,17.6151275634766,-91.896484375,119.071250915527,on,10,True,1
362,4117666474818,3,22.613525390625,155.830604553223,85.3719787597656,on,10,True,1
363,4117675363380,1,17.6410522460938,-91.9190063476562,119.397392272949,on,10,True,1
363,4117675363380,3,24.5371856689453,155.76277923584,85.7460250854492,on,10,True,1
364,4117693140558,1,17.7519683837891,-91.9607543945312,119.541107177734,on,10,True,1
364,4117693140558,3,28.8601989746094,155.132698059082,88.5194091796875,on,10,True,1
365,4117710917736,1,17.8057250976562,-92.0277404785156,119.644889831543,on,10,True,1
365,4117710917736,3,32.8350524902344,153.96346282959,87.235954284668,on,10,True,1
366,4117728694914,1,17.7745056152344,-91.9829406738281,119.431427001953,on,10,True,1
366,4117728694914,3,37.2104797363281,152.871284484863,89.2705001831055,on,10,True,1
367,4117746472092,1,17.8090057373047,-92.0135498046875,119.597091674805,on,10,True,1
367,4117746472092,3,41.4295043945312,152.795211791992,87.8673095703125,on,10,True,1
368,4117764249270,1,17.8785858154297,-92.1031188964844,119.451011657715,on,10,True,1
368,4117764249270,3,46.23583984375,152.78059387207,90.3203201293945,on,10,True,1
369,4117782026421,1,17.8879852294922,-92.0255737304688,120.005218505859,on,10,True,1
369,4117782026421,3,49.8457946777344,152.400833129883,92.4542694091797,on,10,True,1
370,4117799803599,1,17.7281494140625,-91.9903564453125,119.663726806641,on,10,True,1
370,4117799803599,3,54.2532348632812,151.155921936035,93.3064117431641,on,10,True,1
371,4117808692188,1,17.814453125,-92.1203002929688,119.739112854004,on,10,True,1
371,4117808692188,3,55.427490234375,150.286598205566,95.8687362670898,on,10,True,1
372,4117826469366,1,17.6843414306641,-91.9709777832031,119.263046264648,on,10,True,1
372,4117826469366,3,56.9258728027344,148.841041564941,99.1927337646484,on,10,True,1
373,4117844246544,1,17.2835388183594,-91.728271484375,120.569038391113,on,10,True,1
373,4117844246544,3,57.8565368652344,147.861030578613,101.393569946289,on,10,True,1
374,4117862023722,1,17.4564819335938,-91.8753662109375,120.926719665527,on,10,True,1
374,4117862023722,3,57.525634765625,146.783889770508,106.064949035645,on,10,True,1
375,4117879800873,1,16.9852905273438,-91.7496337890625,121.836692810059,on,10,True,1
375,4117879800873,3,57.1524963378906,144.086944580078,121.114273071289,on,10,True,1
376,4117897578051,1,16.8279571533203,-91.7182312011719,122.991661071777,on,10,True,1
376,4117897578051,3,56.6200561523438,140.007225036621,138.745468139648,on,10,True,1
377,4117915355229,1,16.9977569580078,-91.8361511230469,123.289436340332,on,10,True,1
377,4117915355229,3,57.2744750976562,135.947059631348,145.397048950195,on,10,True,1
378,4117933132407,1,16.9458160400391,-91.7327575683594,122.923873901367,on,10,True,1
378,4117933132407,3,57.8499145507812,133.937675476074,149.656692504883,on,10,True,1
379,4117942020996,1,17.1881103515625,-92.0289306640625,124.078468322754,on,10,True,1
379,4117942020996,3,57.8818969726562,133.500160217285,151.198379516602,on,10,True,1
380,4117959798174,1,16.7677612304688,-92.0588073730469,126.561317443848,on,10,True,1
380,4117959798174,3,57.6535339355469,133.13289642334,153.630065917969,on,10,True,1
381,4117977575325,1,16.3037719726562,-91.7668762207031,128.438003540039,on,10,True,1
381,4117977575325,3,57.6085815429688,133.023483276367,154.001907348633,on,10,True,1
382,4117995352503,1,16.3383941650391,-91.8280029296875,128.404342651367,on,10,True,1
382,4117995352503,3,57.5953369140625,133.069274902344,154.047470092773,on,10,True,1
383,4118013129681,1,16.5376892089844,-91.9154052734375,129.906616210938,on,10,True,1
383,4118013129681,3,57.6979064941406,132.90161895752,155.112701416016,on,10,True,1
384,4118030906859,1,16.1536865234375,-91.8619079589844,129.069381713867,on,10,True,1
384,4118030906859,3,57.8819885253906,132.448989868164,156.546600341797,on,10,True,1
385,4118048684037,1,16.4236145019531,-92.0177612304688,129.622634887695,on,10,True,1
385,4118048684037,3,57.7779235839844,132.548675537109,157.243240356445,on,10,True,1
386,4118066461188,1,16.2624206542969,-91.857177734375,129.836196899414,on,10,True,1
386,4118066461188,3,57.8172912597656,132.872894287109,158.357818603516,on,10,True,1
387,4118075349777,1,16.2686157226562,-91.8724975585938,129.982513427734,on,10,True,1
387,4118075349777,3,57.928466796875,132.764350891113,158.709579467773,on,10,True,1
388,4118093126955,1,16.2723693847656,-91.8714599609375,130.009140014648,on,10,True,1
388,4118093126955,3,57.9379272460938,132.991996765137,158.838958740234,on,10,True,1
389,4118110904133,1,16.2686157226562,-91.8724975585938,129.982513427734,on,10,True,1
389,4118110904133,3,57.8657836914062,132.967575073242,159.469314575195,on,10,True,1
390,4118128681311,1,16.2923889160156,-91.8856506347656,130.04817199707,on,10,True,1
390,4118128681311,3,57.8721313476562,133.129859924316,159.52587890625,on,10,True,1
391,4118146458489,1,16.3418273925781,-91.8662414550781,129.943954467773,on,10,True,1
391,4118146458489,3,57.8431091308594,133.196899414062,159.792572021484,on,10,True,1
392,4118164235640,1,16.3107147216797,-91.9429016113281,130.839721679688,on,10,True,1
392,4118164235640,3,57.7709350585938,133.174522399902,160.624114990234,on,10,True,1
393,4118182012818,1,16.4263153076172,-92.0430908203125,131.644470214844,on,10,True,1
393,4118182012818,3,58.0462646484375,132.84782409668,162.064239501953,on,10,True,1
394,4118190901407,1,16.3165893554688,-92.0228576660156,131.282897949219,on,10,True,1
394,4118190901407,3,58.1766357421875,132.580123901367,162.909866333008,on,10,True,1
395,4118208678585,1,16.3948211669922,-92.0191650390625,131.814041137695,on,10,True,1
395,4118208678585,3,58.1397399902344,132.513008117676,162.536849975586,on,10,True,1
396,4118226455763,1,16.2927856445312,-91.9273986816406,132.036529541016,on,10,True,1
396,4118226455763,3,58.1425476074219,132.761627197266,163.129577636719,on,10,True,1
397,4118244232941,1,16.1581878662109,-91.6882019042969,130.655883789062,on,10,True,1
397,4118244232941,3,58.0825805664062,132.865249633789,163.605255126953,on,10,True,1
398,4118262010092,1,15.7143707275391,-91.123779296875,126.464698791504,on,10,True,1
398,4118262010092,3,58.1679382324219,132.608444213867,164.036346435547,on,10,True,1
399,4118279787270,1,15.1024627685547,-90.5433349609375,124.481788635254,on,10,True,1
399,4118279787270,3,58.1707458496094,132.619873046875,164.489105224609,on,10,True,1
400,4118297564448,1,14.6736145019531,-90.2382202148438,121.351043701172,on,10,True,1
400,4118297564448,3,58.2362365722656,132.813674926758,164.503463745117,on,10,True,1
401,4118315341626,1,14.7946472167969,-90.0991821289062,119.719062805176,on,10,True,1
401,4118315341626,3,58.1562805175781,132.891136169434,164.592529296875,on,10,True,1
402,4118333118804,1,14.3826599121094,-89.7669677734375,118.083168029785,on,10,True,1
402,4118333118804,3,58.2909851074219,132.844421386719,165.023941040039,on,10,True,1
403,4118342007393,1,14.3852233886719,-89.6571044921875,117.949394226074,on,10,True,1
403,4118342007393,3,58.2707824707031,132.920364379883,164.794937133789,on,10,True,1
404,4118359784544,1,14.0206451416016,-89.2621765136719,118.700965881348,on,10,True,1
